Year,Sex,Type,Cancer_Type,MorRate_Age_0_to_4,MorRate_Age_5_to_9,MorRate_Age_10_to_14,MorRate_Age_15_to_19,MorRate_Age_20_to_24,MorRate_Age_25_to_29,MorRate_Age_30_to_34,MorRate_Age_35_to_39,MorRate_Age_40_to_44,MorRate_Age_45_to_49,MorRate_Age_50_to_54,MorRate_Age_55_to_59,MorRate_Age_60_to_64,MorRate_Age_65_to_69,MorRate_Age_70_to_74,MorRate_Age_75_to_79,MorRate_Age_80_to_84,MorRate_Age_85+
2009,Persons,Mortality,Non-melanoma skin cancer all types,0,0,0,0,0,0.000249362,0.000267459,0.000496016,0.001579155,0.001581753,0.004866765,0.005767345,0.007823363,0.017400219,0.025674091,0.038225217,0.076492504,0.18379264
2009,Persons,Mortality,Oesophageal cancer,0,0,0,0,0,0.000249362,0.000267459,0.001240039,0.004474273,0.008699641,0.016890538,0.027875502,0.041961673,0.076655019,0.100362355,0.101226038,0.163783949,0.204797513
2009,Persons,Mortality,Pancreatic cancer,0,0,0,0,0,0.000748087,0.000267459,0.000992032,0.004737465,0.011335896,0.02834175,0.049022435,0.075388768,0.129325953,0.178551631,0.255542657,0.31856878,0.417996975
2009,Persons,Mortality,Rectal cancer,0,0,0,0,0.000492161,0.001246811,0.000802377,0.003720118,0.010001316,0.012917649,0.025192667,0.044536722,0.067921012,0.09640662,0.124285939,0.16918198,0.225877864,0.266761889
2009,Persons,Mortality,Stomach cancer,0,0,0,0,0,0.000498725,0.001604754,0.003224102,0.007369391,0.01107227,0.013455174,0.022748973,0.040539243,0.050319553,0.069436745,0.101226038,0.163783949,0.243656528
2009,Persons,Mortality,Thyroid cancer,0,0,0,0,0,0.000249362,0,0.000496016,0.000263193,0.001581753,0.001717682,0.001922448,0.004267289,0.004702762,0.008169029,0.020528357,0.01979806,0.021004873
2009,Persons,Mortality,Tongue cancer,0,0,0,0,0,0.000498725,0,0.000248008,0.000526385,0.002636255,0.003721644,0.005126529,0.006400933,0.011286629,0.019255568,0.019112609,0.017098324,0.017854142
2009,Persons,Mortality,Unknown primary site,0,0,0,0,0.000246081,0.000997449,0.001872213,0.00347211,0.003947888,0.014499402,0.024620106,0.033963256,0.062231294,0.099228277,0.163380578,0.237845797,0.386962078,0.633296925
2010,Male,Mortality,Acute lymphoblastic leukaemia,0,0,0,0,0,0,0,0.000503674,0.00053351,0.000534794,0.00057971,0.000652154,0.000720492,0.002870429,0.008523488,0.007738261,0.023543009,0.043698108
2010,Male,Mortality,Acute myeloid leukaemia,0,0,0,0,0,0.00049156,0.001605807,0.004029394,0.007469136,0.011765461,0.028405797,0.040433552,0.053316426,0.085156056,0.147334583,0.246076702,0.404511697,1.030026843
2010,Male,Mortality,Anal cancer,0,0,0,0,0,0.00049156,0,0.001007349,0.003201058,0.004278349,0.007536232,0.009782311,0.018012306,0.022006621,0.042617441,0.060358436,0.070629026,0.140458206
2010,Male,Mortality,Bladder cancer,0,0,0,0,0,0.00049156,0,0.001007349,0.003201058,0.004278349,0.007536232,0.009782311,0.018012306,0.022006621,0.042617441,0.061906088,0.074909573,0.143579499
2010,Male,Mortality,Bowel cancer,0,0,0.000586875,0,0,0.00049156,0,0.001511023,0.00053351,0,0.00057971,0,0,0.001913619,0.004870565,0.010833565,0.010701368,0.012485174
2010,Male,Mortality,Brain cancer,0.000570877,0.001820598,0.000586875,0.000541856,0,0,0,0.001007349,0.001067019,0.003743556,0.009855072,0.010434465,0.015130337,0.034445146,0.052358571,0.078930263,0.132696959,0.259067358
2010,Male,Mortality,Breast cancer,0,0,0,0,0,0,0,0,0,0,0.00057971,0,0.001440984,0.00095681,0.010958771,0.004642957,0.010701368,0.003121293
2010,Male,Mortality,Chronic lymphocytic leukaemia,0.000570877,0,0,0,0.001424623,0.00098312,0,0.001511023,0.003201058,0.006952318,0.012173913,0.014347389,0.038186089,0.036358765,0.056011495,0.111430959,0.158380241,0.277795118
2010,Male,Mortality,Chronic myeloid leukaemia,0,0,0,0,0,0.00098312,0.001070538,0.00705144,0.018139331,0.039574732,0.086376812,0.149995435,0.230557517,0.398989609,0.530891557,0.679419321,1.080838131,1.282851614
2010,Male,Mortality,Colon cancer,0,0,0,0,0.001424623,0.002949359,0.002676344,0.007555115,0.010670195,0.012300255,0.018550725,0.0241297,0.02881969,0.05071091,0.052358571,0.068096697,0.10915395,0.290280292
2010,Male,Mortality,Head and neck excluding lip,0,0,0,0,0,0,0,0.001007349,0.00053351,0.001604381,0.004057971,0.001956462,0.007204922,0.011481715,0.017046977,0.026310088,0.047086018,0.059304576
2010,Male,Mortality,Head and neck including lip,0,0,0,0,0,0,0,0.000503674,0.001600529,0.003743556,0.005797101,0.008478003,0.018732798,0.036358765,0.058446777,0.078930263,0.11557477,0.218490542
2010,Male,Mortality,Hodgkin lymphoma,0,0,0,0,0,0.00098312,0.001070538,0.002518372,0.001067019,0.003743556,0.004637681,0.014999543,0.025217228,0.046883671,0.087670165,0.162503482,0.269674464,0.564954117
2010,Male,Mortality,Kidney cancer,0,0,0,0,0,0.00049156,0,0.000503674,0.001067019,0.001604381,0.00115942,0.002608616,0.002881969,0.007654477,0.014611694,0.018571827,0.040665197,0.252824771
2010,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0.000503674,0.00053351,0.003208762,0.006376812,0.010434465,0.01945329,0.037315575,0.046270365,0.061906088,0.154099694,0.318371933
2010,Male,Mortality,Liver cancer,0,0,0,0.001083711,0.000949749,0.00196624,0.001605807,0.002014697,0.005868607,0.014439429,0.031884058,0.053476633,0.087179561,0.088983294,0.127852324,0.1748847,0.226868994,0.40576815
2010,Male,Mortality,Lung cancer,0,0,0,0,0,0.00098312,0.000535269,0,0.005868607,0.008556699,0.023188406,0.045650785,0.054036918,0.110989915,0.168034484,0.277029746,0.387389508,0.780323366
2010,Male,Mortality,Melanoma of the skin,0,0,0,0,0.000474874,0.00196624,0.001070538,0.001511023,0.010670195,0.015509017,0.023768116,0.029346933,0.046111503,0.052624529,0.098628936,0.123812177,0.207606532,0.436981085
2010,Male,Mortality,Mesothelioma,0,0,0,0,0,0.00049156,0.001605807,0.003022046,0.008002646,0.008021905,0.009275362,0.014999543,0.02881969,0.02392024,0.042617441,0.074287306,0.156239967,0.402646857
2010,Male,Mortality,Myeloma,0,0,0,0,0,0.00049156,0,0.000503674,0,0.001604381,0.002318841,0.001956462,0.007204922,0.003827238,0.008523488,0.02785774,0.029963829,0.046819402
2010,Male,Mortality,Non-Hodgkin lymphoma,0,0,0,0,0,0.00049156,0,0,0.00053351,0.001069587,0.00115942,0.001956462,0.004322953,0.002870429,0.015829335,0.020119479,0.019262462,0.024970348
2010,Male,Mortality,Non-melanoma skin cancer all types,0,0,0,0,0.000474874,0.00049156,0.001070538,0.004029394,0.002134039,0.014974223,0.019130435,0.026086163,0.050434457,0.076544769,0.152205148,0.239886093,0.423774158,1.092452712
2010,Male,Mortality,Oesophageal cancer,0,0,0,0,0,0.00049156,0.000535269,0.000503674,0.002134039,0.007487111,0.011594203,0.015651698,0.031701659,0.039229194,0.060882059,0.071192002,0.096312309,0.190398901
2010,Male,Mortality,Pancreatic cancer,0.000570877,0.001820598,0.00117375,0.005418556,0.002374372,0.00098312,0.001070538,0.001007349,0.002667549,0.001604381,0.002898551,0.000652154,0.007925415,0.002870429,0.007305847,0.010833565,0.006420821,0.006242587
2010,Male,Mortality,Prostate cancer,0.001141755,0.001820598,0.002934376,0.002167423,0.001899498,0.002949359,0.002676344,0.005036743,0.006402117,0.011230667,0.013333333,0.030651241,0.042509042,0.089940104,0.136375813,0.219766614,0.278235559,0.368312629
